1: nitrous oxide: Specified state points

Temperature, Pressure, Density, Int. Energy, Enthalpy, Entropy, Cv, Cp, Cp/Cv, Sound Speed, Comp. Factor, Heat of Vapor., Molar Mass, Therm. Cond., Viscosity, Vol. Expansivity
(K), (Pa), (kg/m^3), (J/kg), (J/kg), (J/kg-K), (J/kg-K), (J/kg-K), , (m/s), , (J/kg), , (W/m-K), (Pa-s), (1/K)
, , , , , , , , , , , , , , , 
230.0000000, 2475000.000, 1092.135920, 78541.80704, 80808.00849, 381.0830372, 909.3376906, 1826.297540, 2.008382099, 865.7134932, 0.05215738257, Undefined, 44.01288000, 0.1470792018, 0.0001981330512, 0.003268588333
230.0000000, 2500000.000, 1092.202895, 78524.74188, 80813.69388, 381.0082336, 909.3442286, 1826.075160, 2.008123110, 865.8993359, 0.05268099413, Undefined, 44.01288000, 0.1470979988, 0.0001981790883, 0.003267268195
230.0000000, 2525000.000, 1092.269833, 78507.68603, 80819.38587, 380.9334648, 909.3507804, 1825.853064, 2.007864406, 866.0850799, 0.05320454331, Undefined, 44.01288000, 0.1471167897, 0.0001982251147, 0.003265949696
230.0000000, 2550000.000, 1092.336734, 78490.63948, 80825.08445, 380.8587307, 909.3573458, 1825.631251, 2.007605986, 866.2707255, 0.05372803015, Undefined, 44.01288000, 0.1471355745, 0.0001982711304, 0.003264632832
230.0000000, 2575000.000, 1092.403598, 78473.60221, 80830.78961, 380.7840313, 909.3639249, 1825.409720, 2.007347850, 866.4562728, 0.05425145473, Undefined, 44.01288000, 0.1471543533, 0.0001983171353, 0.003263317600
230.0000000, 2600000.000, 1092.470424, 78456.57421, 80836.50133, 380.7093666, 909.3705177, 1825.188470, 2.007089998, 866.6417218, 0.05477481710, Undefined, 44.01288000, 0.1471731261, 0.0001983631295, 0.003262003996
230.0000000, 2625000.000, 1092.537214, 78439.55547, 80842.21962, 380.6347365, 909.3771240, 1824.967502, 2.006832428, 866.8270728, 0.05529811732, Undefined, 44.01288000, 0.1471918927, 0.0001984091130, 0.003260692017
230.0000000, 2650000.000, 1092.603966, 78422.54598, 80847.94446, 380.5601409, 909.3837440, 1824.746814, 2.006575140, 867.0123259, 0.05582135547, Undefined, 44.01288000, 0.1472106534, 0.0001984550858, 0.003259381659
230.0000000, 2675000.000, 1092.670681, 78405.54572, 80853.67584, 380.4855798, 909.3903775, 1824.526405, 2.006318134, 867.1974812, 0.05634453159, Undefined, 44.01288000, 0.1472294080, 0.0001985010479, 0.003258072920
230.0000000, 2700000.000, 1092.737359, 78388.55469, 80859.41375, 380.4110533, 909.3970245, 1824.306276, 2.006061409, 867.3825388, 0.05686764576, Undefined, 44.01288000, 0.1472481565, 0.0001985469994, 0.003256765795
230.0000000, 2725000.000, 1092.804000, 78371.57288, 80865.15819, 380.3365611, 909.4036850, 1824.086425, 2.005804964, 867.5674988, 0.05739069804, Undefined, 44.01288000, 0.1472668991, 0.0001985929403, 0.003255460281
230.0000000, 2750000.000, 1092.870605, 78354.60026, 80870.90914, 380.2621034, 909.4103590, 1823.866853, 2.005548799, 867.7523615, 0.05791368848, Undefined, 44.01288000, 0.1472856356, 0.0001986388706, 0.003254156376
230.0000000, 2775000.000, 1092.937172, 78337.63684, 80876.66659, 380.1876800, 909.4170464, 1823.647558, 2.005292913, 867.9371269, 0.05843661715, Undefined, 44.01288000, 0.1473043662, 0.0001986847902, 0.003252854075
230.0000000, 2800000.000, 1093.003703, 78320.68259, 80882.43054, 380.1132909, 909.4237472, 1823.428540, 2.005037306, 868.1217952, 0.05895948411, Undefined, 44.01288000, 0.1473230907, 0.0001987306993, 0.003251553375
230.0000000, 2825000.000, 1093.070196, 78303.73751, 80888.20098, 380.0389360, 909.4304614, 1823.209798, 2.004781977, 868.3063665, 0.05948228942, Undefined, 44.01288000, 0.1473418093, 0.0001987765978, 0.003250254274
230.0000000, 2850000.000, 1093.136653, 78286.80158, 80893.97790, 379.9646154, 909.4371889, 1822.991333, 2.004526926, 868.4908409, 0.06000503314, Undefined, 44.01288000, 0.1473605218, 0.0001988224858, 0.003248956767
230.0000000, 2875000.000, 1093.203074, 78269.87479, 80899.76129, 379.8903290, 909.4439298, 1822.773142, 2.004272152, 868.6752186, 0.06052771534, Undefined, 44.01288000, 0.1473792284, 0.0001988683632, 0.003247660851
230.0000000, 2900000.000, 1093.269458, 78252.95714, 80905.55114, 379.8160766, 909.4506840, 1822.555226, 2.004017654, 868.8594997, 0.06105033607, Undefined, 44.01288000, 0.1473979290, 0.0001989142301, 0.003246366523
230.0000000, 2925000.000, 1093.335805, 78236.04861, 80911.34744, 379.7418584, 909.4574514, 1822.337584, 2.003763432, 869.0436843, 0.06157289539, Undefined, 44.01288000, 0.1474166237, 0.0001989600865, 0.003245073780
230.0000000, 2950000.000, 1093.402116, 78219.14918, 80917.15018, 379.6676742, 909.4642321, 1822.120216, 2.003509486, 869.2277726, 0.06209539338, Undefined, 44.01288000, 0.1474353124, 0.0001990059324, 0.003243782619
230.0000000, 2975000.000, 1093.468390, 78202.25885, 80922.95936, 379.5935240, 909.4710260, 1821.903121, 2.003255815, 869.4117647, 0.06261783008, Undefined, 44.01288000, 0.1474539952, 0.0001990517678, 0.003242493036
